Work ID,Work Category,Work Title,State,IDA (Nodal Agency),Hon'ble MP,Constituency,Work Description,Recommended Date,Sanction Date,Sanction Amount (INR),Disbursed Amount (INR),Vendor Name,Expenditure Date,Work Status
WS/MP745/2025-2026/138569,Normal/Others,Construction of community centers and community halls,Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K Subbarayan,TIRUPPUR,Construction of Ration shop Building at ward no.1 Priyanka nagar - Tiruppur corporation,03-Sep-2024,24-Sep-2025,1350000.0,0.0,,,Physical Inspection
WS/MP313/2024-2025/138570,Normal/Others,Construction of boundary walls of existing public and community buildings,Arunachal Pradesh,EAST SIANG(Deputy Commisioner East Siang_IDA),Shri Tapir Gao,ARUNACHAL EAST,"C/o Wall near Petrol Pump, Dura- Rengging in East Siang District",15-Sep-2024,10-Jan-2025,2500000.0,0.0,,,Work Completed
WS/MP745/2024-2025/138572,Normal/Others,Construction of water tanks,Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K Subbarayan,TIRUPPUR,"Construction of 30000 ltr OHT at Aathiyur Kalaivani garden H/o. Veliampathi, Uthukuli Block",03-Sep-2024,14-Mar-2025,998871.0,0.0,,,Physical Inspection
WS/MP745/2025-2026/138574,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Tamil Nadu,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K Subbarayan,TIRUPPUR,"Providing BT Road at Mallankattupudur H/o. Punjaithalavaipalayam, Uthukuli block",03-Sep-2024,19-Jun-2025,1501451.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138575,Normal/Others,Providing drains and gutters for public drainage,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Cover Slab Drain from H/O Sintu Sadhukhan to Mahadevpur Khal At Sadhukhan Para. (90 mtr),03-Sep-2024,09-Dec-2024,299987.0,0.0,,,Work partially Completed
WS/MP423/2024-2025/138576,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road & Slab from H/O Jahangir Thander to H/O Anisur Purkait at Thander Para. (126 mtr),03-Sep-2024,28-Nov-2024,299999.0,0.0,,,Work partially Completed
WS/MP423/2024-2025/138577,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From  H/O Saud Molla to H/O Miraj Molla at Laskar Para. (59.9 mtr),03-Sep-2024,28-Nov-2024,99926.0,0.0,,,Work partially Completed
WS/MP423/2024-2025/138578,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From H/O Saidul Sarder to H/O Rausun Sarder(50 mtr),03-Sep-2024,28-Nov-2024,99800.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138579,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From V.K.Pally H/O Swapan Dey To H/O Sanjib Kar.(100 mtr),03-Sep-2024,28-Nov-2024,300000.0,0.0,,,Work partially Completed
WS/MP423/2024-2025/138580,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From H/O Akash Nandi to H/O Uttam Halder. (70 mtr),03-Sep-2024,28-Nov-2024,299974.0,0.0,,,Work partially Completed
WS/MP423/2024-2025/138581,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC New Road at 4No Pole From H/O Uma Sankar Shaw To H/O Ashok Mondal Tample.(22 mtr),03-Sep-2024,09-Dec-2024,79609.0,0.0,,,Physical Inspection
WS/MP423/2024-2025/138582,Normal/Others,Providing drains and gutters for public drainage,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC New Drain at 3No Pole From H/O Manoshi Mukharjee to H/O Raja Tamang and H/O Birendro Shaw. (50 mtr),03-Sep-2024,09-Dec-2024,119975.0,0.0,,,Work partially Completed
